enterprise;organization;system;owner;environment;site;language;full_member;member;item_type;item;relationship;full_member_related;member_related;item_type_related;item_related;hash;hash_related;sequencing;structure;label;level;language_cross;date;time,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAVA;.LogArquivoPreLancamento;LogArquivoPreLancamento;METHOD;setQtdRegistrosIncluidosPedido;Realizes;.LogArquivoPreLancamento;LogArquivoPreLancamento;CLASS;LogArquivoPreLancamento;002ec699e6370de47a1728680bf4bb7805eebdc8a5739ba5b27bf5e976a40e9f;233c8a06b8d9e96386ea42067688266803ccacb3005174c75d73fa473d6e74eb;198;structure;label;level;language_cross;2023-03-13;1678704708138105900,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAVA;br.com.itspay.proc0105.model;DegloseContabId;METHOD;setIdDeglose;Retrieves;br.com.itspay.proc0105.model.;;VARIABLE;idDeglose;004c00e8eeba834037b611aaa87458314bbe77889ed889b9b77eaa70c203b89c;173e0033b4a94e0f7d9c299e985bc1bc1c3a8994c99d0b6eb4bb70ff450f7688;36;structure;label;level;language_cross;2023-03-13;1678704707697748700,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAVA;br.com.itspay.proc0105.model;DegloseContabId;METHOD;setIdDeglose;Retrieves;br.com.itspay.proc0105.model.;;VARIABLE;idContabAnalitica;004c00e8eeba834037b611aaa87458314bbe77889ed889b9b77eaa70c203b89c;4946d8518b8e47bcbe5fece3ca5b5ba778e530479cbf8d2ab12ca1f2e63b00ac;34;structure;label;level;language_cross;2023-03-13;1678704707697748700,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAVA;.PreLancamentoLote;PreLancamentoLote;VARIABLE_VALUE;valorTotalLancamento;Ascribes;.PreLancamentoLote;PreLancamentoLote;VARIABLE;valorTotalLancamento;005d4552d49a88beb2120f6fd4679013475f00e57d29a2164153c152370d1723;197e3363c3061359d0f3f8880e6382ea9b4e1b45ab41ee1c025b850c0926659a;122;structure;label;level;language_cross;2023-03-13;1678704708176114600,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAVA;.LogArquivoPreLancamento;LogArquivoPreLancamento;VARIABLE_VALUE;idFilial;Ascribes;.LogArquivoPreLancamento;LogArquivoPreLancamento;VARIABLE;idFilial;005e9fcb8c9e9d039ca11ec70b1ea6709b951fe52769af8813b04a7f88e3e60e;3e4a0a65ff92681fd45004272f988811cf881b8dc3390154ccf028520be1481f;45;structure;label;level;language_cross;2023-03-13;1678704708114618500,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAVA;.PlanoSaudeProdutoContratado;PlanoSaudeProdutoContratado;METHOD;setDtHrInclusao;Realizes;.PlanoSaudeProdutoContratado;PlanoSaudeProdutoContratado;CLASS;PlanoSaudeProdutoContratado;0062761bff74a4221a31bf10dfacd22ecb2938cd22e6a6683556af020dfc7204;911c5f2fc15ee64e700e41d0695e1c6c7a45710832017b99953a44b210ca964c;88;structure;label;level;language_cross;2023-03-13;1678704707742048900,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAD;org.springframework.batch.item.ExecutionContext;StepCriarPedidoReader;CLASS;ExecutionContext;Formats;br.com.itspay.proc0189.step.criar.pedido.StepCriarPedidoReader.jad;StepCriarPedidoReader.jad;METHOD;getExecutionContext;0074e1b70f37853a273d8fbda32757180f75cb3a8dd4cebcaa778df8d90e5067;3cb74f9f5dc1c0c46d69673820a643b933782dd4a214c0454f98d167179b9ead;62;structure;label;level;language_cross;2023-03-13;1678732658188901300,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAD;org.springframework.batch.item.ExecutionContext;StepGravarRegistrosReader;CLASS;ExecutionContext;Formats;br.com.itspay.proc0189.step.gravar.registros.StepGravarRegistrosReader.jad;StepGravarRegistrosReader.jad;METHOD;getExecutionContext;0074e1b70f37853a273d8fbda32757180f75cb3a8dd4cebcaa778df8d90e5067;3f7bf5685dcc6f7acd996cdf317c146ad955aa9d391ac831aac0cfca88751f90;67;structure;label;level;language_cross;2023-03-13;1678732658327650800,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAD;org.springframework.batch.item.ExecutionContext;StepProcessarValidacoesParam;CLASS;ExecutionContext;Formats;br.com.itspay.proc0189.step.gravar.registros.StepProcessarValidacoesParam.jad;StepProcessarValidacoesParam.jad;METHOD;getExecutionContext;0074e1b70f37853a273d8fbda32757180f75cb3a8dd4cebcaa778df8d90e5067;597e0b7339499fb6eed547370fbf34165ce2630ce1d67edbee9027453cca154a;27;structure;label;level;language_cross;2023-03-13;1678732658422670400,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAD;org.springframework.batch.item.ExecutionContext;TaskletAtualizarArquivosELotes;CLASS;ExecutionContext;Formats;br.com.itspay.proc0189.step.tasklet.atualizar.TaskletAtualizarArquivosELotes.jad;TaskletAtualizarArquivosELotes.jad;METHOD;getExecutionContext;0074e1b70f37853a273d8fbda32757180f75cb3a8dd4cebcaa778df8d90e5067;acbe6ac1e7cc05a5f091cc97b3047cab523e00dd5dd16c2b199d59e04bb39bf3;31;structure;label;level;language_cross;2023-03-13;1678732658453529200,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAD;org.springframework.batch.item.ExecutionContext;TaskletAtualizarArquivos;CLASS;ExecutionContext;Formats;br.com.itspay.proc0189.step.tasklet.atualizar.TaskletAtualizarArquivos.jad;TaskletAtualizarArquivos.jad;METHOD;getExecutionContext;0074e1b70f37853a273d8fbda32757180f75cb3a8dd4cebcaa778df8d90e5067;d94aace06320c808318786e378852476c06c30cb9b37f1f3c3fc5d423ebcd6e9;28;structure;label;level;language_cross;2023-03-13;1678732658438332800,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAVA;br.com.itspay.proc0105.dto;AccountBalanceResponse;METHOD;setBalance;Invokes;UNIDENTIFIED_JAVA_LIB.UNIDENTIFIED_JAVA_CLASS;UNIDENTIFIED_JAVA_CLASS;METHOD;getLayers;00a768e5ab99974865891b044983096b5905179553dae1ed514a408682409195;e35cc49270a1f2cc621f437bd52d8323631cab8ebede50118597b76059d2db8e;33;structure;label;level;language_cross;2023-03-13;1678704707569911500,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAVA;.StepCobrancaPlanoSaudeProcessor;StepCobrancaPlanoSaudeProcessor;VARIABLE_VALUE;contratos . iterator ( );Ascribes;.StepCobrancaPlanoSaudeProcessor;StepCobrancaPlanoSaudeProcessor;VARIABLE;iterator;00de56e1f5c7e478b76c9768e9598c31878fbfe1d318f758917f2290b240f082;67a601f9d342ea0c64a2ec192e292259b422fcae67a498a373d88cbddff6e3e6;42;structure;label;level;language_cross;2023-03-13;1678704707924610300,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAD;br.com.itspay.proc0105.model.DegloseContabId.jad;DegloseContabId;PACKAGE;br.com.itspay.proc0105.model;Packages;br.com.itspay.proc0105.model.DegloseContabId.jad;DegloseContabId.jad;CLASS;DegloseContabId.jad;01045a32c3a6a471bc0d6ae512e588e241c0b918e1b85c831f07c75872fa2d1b;c2d36fcfeafc16c332fd430727a1bcb0adf64b2599a7db21e0a2ad7d54058952;1;structure;label;level;language_cross;2023-03-13;1678732657447012300,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAD;br.com.itspay.proc0105.model.ProdutoInstituidor.jad;ProdutoInstituidor;PACKAGE;br.com.itspay.proc0105.model;Packages;br.com.itspay.proc0105.model.ProdutoInstituidor.jad;ProdutoInstituidor.jad;CLASS;ProdutoInstituidor.jad;010f98736c07f2cc90182e7801a835408bf1df832911ab934d186a596c43d0d4;9497914b23d6b9b92de30e3ab4b0811d97f5581c743abce061d01a3966bafbde;1;structure;label;level;language_cross;2023-03-13;1678732657551170200,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAVA;.BalanceamentoMoedasRepositoryImpl;BalanceamentoMoedasRepositoryImpl;VARIABLE_VALUE;new StringBuilder ( );Ascribes;.BalanceamentoMoedasRepositoryImpl;BalanceamentoMoedasRepositoryImpl;VARIABLE;queryString;012470223d436ce9565cff7d34570e895a90322b3b19e594f444f2bd74c28c9b;3491254b326b75a44f379c8ab7825cd92496d32bc0458448efa67a652d7a63d8;23;structure;label;level;language_cross;2023-03-13;1678704707880836200,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAVA;.PagamentoDTO;PagamentoDTO;VARIABLE_VALUE;functionCode;Ascribes;.PagamentoDTO;PagamentoDTO;VARIABLE;functionCode;015f3bd039e333bae44c9ec8f2a815603285bbeb7dfa13785b4bdbb12a02a8ab;8a70791458a31b54368fd73f8a101c699efd30d707240c49493cde6adc4c9dda;41;structure;label;level;language_cross;2023-03-13;1678704707628070800,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAVA;java.util.concurrent;StepCobrancaPlanoSaudeProcessor;CLASS;PlanoSaudeProdutoContratado;Formats;br.com.itspay.proc0105.step.StepCobrancaPlanoSaudeProcessor;StepCobrancaPlanoSaudeProcessor;VARIABLE;contratoPlanoSaude;017edcee9482503005d4363086b5ecb4170ac4a787a8573963a305a329a09e51;f09a394156eab00e50155124e7821dfdd656ed95cecaa472d1dc727a941af2c8;51;structure;label;level;language_cross;2023-03-13;1678704707925607100,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAVA;br.com.itspay.proc0105.model;DegloseContab;CLASS;DegloseContab;Invokes;UNIDENTIFIED_JAVA_LIB.UNIDENTIFIED_JAVA_CLASS;UNIDENTIFIED_JAVA_CLASS;METHOD;toString;01936ca4b88c8f34d58f16ac1192f07b3f3bdefe7221e4f3f9aac8424f18b9ca;389ef1247ce87188d8da7b07c019b247aaf872ca66d8ceb8d245d6dd7f09f6cc;8;structure;label;level;language_cross;2023-03-13;1678704707685700300,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAVA;br.com.itspay.proc0105.model;DegloseContab;CLASS;DegloseContab;Invokes;br.com.itspay.proc0105.model.DegloseContab;model;METHOD;getPlanoSaudeProdutoVigencia;01936ca4b88c8f34d58f16ac1192f07b3f3bdefe7221e4f3f9aac8424f18b9ca;74aa2fe6c237498d02a2fa4161d32ceb6144d113365ac17ac3a69d268e1a4d35;30;structure;label;level;language_cross;2023-03-13;1678704707687705300,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAVA;br.com.itspay.proc0105.model;DegloseContab;CLASS;DegloseContab;Invokes;br.com.itspay.proc0105.model.DegloseContab;model;METHOD;getDegloseContabId;01936ca4b88c8f34d58f16ac1192f07b3f3bdefe7221e4f3f9aac8424f18b9ca;86f4ea41434603d7233ca74460821e3013198d00c842b739c08da21b3260eb04;24;structure;label;level;language_cross;2023-03-13;1678704707687705300,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAVA;br.com.itspay.proc0105.model;DegloseContab;CLASS;DegloseContab;Invokes;UNIDENTIFIED_JAVA_LIB.UNIDENTIFIED_JAVA_CLASS;UNIDENTIFIED_JAVA_CLASS;METHOD;append;01936ca4b88c8f34d58f16ac1192f07b3f3bdefe7221e4f3f9aac8424f18b9ca;f8dd3e1f7ef9d4a9d2ade3f8020d24cd9d619a995be67cc27da28e9a702d2271;13;structure;label;level;language_cross;2023-03-13;1678704707685700300,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAVA;br.com.itspay.proc0105.model;DegloseContab;CLASS;DegloseContab;Invokes;br.com.itspay.proc0105.model.DegloseContab;model;METHOD;getContabAnaliticaMov;01936ca4b88c8f34d58f16ac1192f07b3f3bdefe7221e4f3f9aac8424f18b9ca;fdbdc2e6206a059699942146582f9aa113fc942e00b11c88326b82d68e211805;27;structure;label;level;language_cross;2023-03-13;1678704707687705300,,,,,
INGRUPO;ItsPay;Meios de Pagamento;not built in;DF;Desenvolvimento;JAVA;.PlanoSaudeProdutoContratado;PlanoSaudeProdutoContratado;ARGUMENT; ;Signs;.;;METHOD;idContrato;01d263f1ada7586221bedc3f8faa33ae6c5210841e3ce2ec08ab2afc2ae9506f;c17bf10469aedffe6d836fb56dcd3bde6e4328c1233605bf17b931d208477506;19;structure;label;level;language_cross;2023-03-13;1678704707732896200,,,,,
